group,variable,value
January,1880,-.3
February,1880,-.21
March,1880,-0.18
April,1880,-0.27
May,1880,-0.14
June,1880,-0.29
July,1880,-0.24
August,1880,-0.08
September,1880,-0.17
October,1880,-0.16
November,1880,-0.19
December,1880,-0.22
January,1881,-0.1
February,1881,-0.14
March,1881,0.01
April,1881,-0.03
May,1881,-0.04
June,1881,-0.28
July,1881,-0.07
August,1881,-0.03
September,1881,-0.09
October,1881,-0.2
November,1881,-0.26
December,1881,-0.16
January,1882,0.09
February,1882,0.08
March,1882,0.01
April,1882,-0.2
May,1882,-0.18
June,1882,-0.25
July,1882,-0.11
August,1882,0.03
September,1882,-0.01
October,1882,-0.23
November,1882,-0.21
December,1882,-0.25
